open_time,open,high,low,close,volume,amount,close_time
1675346400000,23765.9500000000000000000000000000,23937.0400000000000000000000000000,23543.5400000000000000000000000000,23612.1500000000000000000000000000,12038.95851200,285866840.450000000000000000,1675350000000
1675350000000,23612.1500000000000000000000000000,23919.8500000000000000000000000000,23559.5800000000000000000000000000,23836.8000000000000000000000000000,1701.78137700,40419853.750000000000000000,1675353600000
1675353600000,23836.8500000000000000000000000000,23898.0800000000000000000000000000,23766.5200000000000000000000000000,23790.9500000000000000000000000000,1440.56971900,34318029.770000000000000000,1675357200000
1675357200000,23790.9500000000000000000000000000,23932.7300000000000000000000000000,23780.5300000000000000000000000000,23895.0100000000000000000000000000,527.96344700,12596051.010000000000000000,1675360800000
1675360800000,23895.2500000000000000000000000000,24143.7500000000000000000000000000,23890.5700000000000000000000000000,24056.5600000000000000000000000000,3293.13013100,79146859.900000000000000000,1675364400000
1675364400000,24056.5600000000000000000000000000,24070.7800000000000000000000000000,23728.9200000000000000000000000000,23803.4400000000000000000000000000,9069.76278900,216202517.160000000000000000,1675368000000
1675368000000,23803.4400000000000000000000000000,23874.6800000000000000000000000000,23750.4000000000000000000000000000,23866.4600000000000000000000000000,813.96269500,19366271.040000000000000000,1675371600000
1675371600000,23866.4600000000000000000000000000,23918.2600000000000000000000000000,23425.8100000000000000000000000000,23461.2400000000000000000000000000,2086.93983000,49532437.560000000000000000,1675375200000
1675375200000,23461.2400000000000000000000000000,23616.1900000000000000000000000000,23388.5900000000000000000000000000,23556.6000000000000000000000000000,3982.19995200,93702863.190000000000000000,1675378800000
1675378800000,23556.6000000000000000000000000000,23594.4800000000000000000000000000,23424.2200000000000000000000000000,23487.0800000000000000000000000000,676.86170500,15920339.080000000000000000,1675382400000
1675382400000,23487.0800000000000000000000000000,23581.3500000000000000000000000000,23438.7200000000000000000000000000,23552.9100000000000000000000000000,833.86521500,19621923.450000000000000000,1675386000000
1675386000000,23552.9100000000000000000000000000,23587.3500000000000000000000000000,23526.2700000000000000000000000000,23554.7600000000000000000000000000,1047.48398100,24679696.340000000000000000,1675389600000
1675389600000,23554.7600000000000000000000000000,23580.5700000000000000000000000000,23414.6400000000000000000000000000,23475.7400000000000000000000000000,1159.26756400,27226303.580000000000000000,1675393200000
1675393200000,23475.5700000000000000000000000000,23535.0000000000000000000000000000,23416.9400000000000000000000000000,23534.4900000000000000000000000000,1178.80645500,27690929.440000000000000000,1675396800000
1675396800000,23534.4900000000000000000000000000,23565.3000000000000000000000000000,23508.9400000000000000000000000000,23515.6800000000000000000000000000,385.36294700,9068723.930000000000000000,1675400400000
1675400400000,23515.6800000000000000000000000000,23549.0900000000000000000000000000,23502.1600000000000000000000000000,23523.7000000000000000000000000000,367.24838000,8640908.280000000000000000,1675404000000
1675404000000,23523.7000000000000000000000000000,23550.0000000000000000000000000000,23508.1700000000000000000000000000,23513.7200000000000000000000000000,738.85773200,17382621.140000000000000000,1675407600000
1675407600000,23513.7200000000000000000000000000,23544.4900000000000000000000000000,23448.6300000000000000000000000000,23453.3600000000000000000000000000,1361.05872500,31971450.190000000000000000,1675411200000
1675411200000,23453.3600000000000000000000000000,23471.8900000000000000000000000000,23333.0000000000000000000000000000,23423.1100000000000000000000000000,1173.58422300,27448766.520000000000000000,1675414800000
1675414800000,23423.1100000000000000000000000000,23445.7700000000000000000000000000,23400.0100000000000000000000000000,23422.4300000000000000000000000000,359.33596300,8417735.110000000000000000,1675418400000
1675418400000,23422.4300000000000000000000000000,23442.9500000000000000000000000000,23360.0000000000000000000000000000,23432.1300000000000000000000000000,215.63543900,5049244.880000000000000000,1675422000000
1675422000000,23432.1300000000000000000000000000,23539.8900000000000000000000000000,23416.7400000000000000000000000000,23534.4400000000000000000000000000,1240.06442300,29124549.290000000000000000,1675425600000
1675425600000,23534.4400000000000000000000000000,23567.0800000000000000000000000000,23488.5400000000000000000000000000,23524.1000000000000000000000000000,1858.18868000,43717435.810000000000000000,1675429200000
1675429200000,23524.1000000000000000000000000000,23543.2100000000000000000000000000,23253.4400000000000000000000000000,23342.6100000000000000000000000000,3624.28966000,84691351.870000000000000000,1675432800000
1675432800000,23342.6100000000000000000000000000,23600.0000000000000000000000000000,23236.2100000000000000000000000000,23515.9000000000000000000000000000,1762.87755200,41343703.220000000000000000,1675436400000
1675436400000,23515.8800000000000000000000000000,23706.2400000000000000000000000000,23415.0200000000000000000000000000,23604.3600000000000000000000000000,891.88601300,21055641.680000000000000000,1675440000000
1675440000000,23604.3600000000000000000000000000,23709.4700000000000000000000000000,23515.1900000000000000000000000000,23519.1800000000000000000000000000,253.87006700,5993029.610000000000000000,1675443600000
1675443600000,23519.1700000000000000000000000000,23661.0000000000000000000000000000,23503.9100000000000000000000000000,23507.7100000000000000000000000000,564.32839700,13299939.620000000000000000,1675447200000
1675447200000,23507.6800000000000000000000000000,23525.0900000000000000000000000000,23369.7700000000000000000000000000,23418.4400000000000000000000000000,2171.31953300,50902965.430000000000000000,1675450800000
1675450800000,23418.4400000000000000000000000000,23435.4300000000000000000000000000,23302.7100000000000000000000000000,23307.4700000000000000000000000000,1581.20847900,36953977.170000000000000000,1675454400000
1675454400000,23307.4900000000000000000000000000,23400.0000000000000000000000000000,23208.2100000000000000000000000000,23336.4200000000000000000000000000,456.65480600,10645469.380000000000000000,1675458000000
1675458000000,23336.4200000000000000000000000000,23391.2200000000000000000000000000,23303.6100000000000000000000000000,23380.2500000000000000000000000000,298.63382600,6975137.890000000000000000,1675461600000
1675461600000,23380.2500000000000000000000000000,23439.0400000000000000000000000000,23378.9800000000000000000000000000,23422.1600000000000000000000000000,847.54013100,19842170.160000000000000000,1675465200000
1675465200000,23422.1600000000000000000000000000,23470.0000000000000000000000000000,23405.0700000000000000000000000000,23431.7300000000000000000000000000,2854.39199200,66911470.600000000000000000,1675468800000
1675468800000,23431.7300000000000000000000000000,23461.4300000000000000000000000000,23383.2800000000000000000000000000,23410.4400000000000000000000000000,1302.92972700,30518491.560000000000000000,1675472400000
1675472400000,23411.0000000000000000000000000000,23440.9900000000000000000000000000,23369.7100000000000000000000000000,23373.4200000000000000000000000000,283.58052200,6639397.900000000000000000,1675476000000
1675476000000,23373.4200000000000000000000000000,23398.1800000000000000000000000000,23350.2000000000000000000000000000,23387.0800000000000000000000000000,1023.86950400,23934416.530000000000000000,1675479600000
1675479600000,23387.0800000000000000000000000000,23393.7400000000000000000000000000,23333.0000000000000000000000000000,23343.5500000000000000000000000000,3345.91649000,78160999.920000000000000000,1675483200000
1675483200000,23342.9500000000000000000000000000,23358.6600000000000000000000000000,23316.1400000000000000000000000000,23337.1800000000000000000000000000,1263.55946700,29486153.060000000000000000,1675486800000
1675486800000,23337.1800000000000000000000000000,23338.7000000000000000000000000000,23266.1900000000000000000000000000,23313.7200000000000000000000000000,313.67673200,7309596.790000000000000000,1675490400000
1675490400000,23313.7200000000000000000000000000,23346.2300000000000000000000000000,23253.9100000000000000000000000000,23338.4300000000000000000000000000,839.73563100,19584503.330000000000000000,1675494000000
1675494000000,23338.7700000000000000000000000000,23354.6100000000000000000000000000,23299.8300000000000000000000000000,23332.3700000000000000000000000000,1745.64609700,40725701.600000000000000000,1675497600000
1675497600000,23332.3700000000000000000000000000,23344.2400000000000000000000000000,23298.8900000000000000000000000000,23298.8900000000000000000000000000,455.11806100,10612474.530000000000000000,1675501200000
1675501200000,23298.8900000000000000000000000000,23351.6200000000000000000000000000,23292.6300000000000000000000000000,23342.7000000000000000000000000000,271.13614300,6325698.750000000000000000,1675504800000
1675504800000,23342.7000000000000000000000000000,23365.9900000000000000000000000000,23333.3900000000000000000000000000,23334.6000000000000000000000000000,789.42118700,18432090.980000000000000000,1675508400000
1675508400000,23334.6000000000000000000000000000,23373.3800000000000000000000000000,23333.6600000000000000000000000000,23360.5200000000000000000000000000,709.59435300,16574430.300000000000000000,1675512000000
1675512000000,23360.5200000000000000000000000000,23416.1600000000000000000000000000,23344.3600000000000000000000000000,23410.7900000000000000000000000000,618.36484100,14452905.400000000000000000,1675515600000
1675515600000,23410.8200000000000000000000000000,23584.2200000000000000000000000000,23409.3200000000000000000000000000,23502.0600000000000000000000000000,3436.76681300,80850979.620000000000000000,1675519200000
1675519200000,23502.0600000000000000000000000000,23508.0400000000000000000000000000,23400.0100000000000000000000000000,23466.1100000000000000000000000000,1778.68669800,41701737.700000000000000000,1675522800000
1675522800000,23466.1100000000000000000000000000,23471.9300000000000000000000000000,23388.5400000000000000000000000000,23421.4900000000000000000000000000,278.45717600,6524039.100000000000000000,1675526400000
1675526400000,23421.4900000000000000000000000000,23453.4600000000000000000000000000,23369.7300000000000000000000000000,23409.3000000000000000000000000000,418.21829100,9789129.140000000000000000,1675530000000
1675530000000,23408.9000000000000000000000000000,23461.7900000000000000000000000000,23395.3300000000000000000000000000,23439.6100000000000000000000000000,3896.64606600,91259518.430000000000000000,1675533600000
1675533600000,23439.7500000000000000000000000000,23469.8600000000000000000000000000,23407.1500000000000000000000000000,23446.4900000000000000000000000000,976.88240400,22899885.350000000000000000,1675537200000
1675537200000,23446.4900000000000000000000000000,23455.2900000000000000000000000000,23415.2800000000000000000000000000,23425.4000000000000000000000000000,1087.31104000,25482640.260000000000000000,1675540800000
1675540800000,23425.3700000000000000000000000000,23440.9600000000000000000000000000,23390.8400000000000000000000000000,23410.4100000000000000000000000000,807.34270900,18904711.020000000000000000,1675544400000
1675544400000,23410.4100000000000000000000000000,23417.9700000000000000000000000000,23381.0000000000000000000000000000,23414.1100000000000000000000000000,398.25610500,9320873.070000000000000000,1675548000000
1675548000000,23414.1100000000000000000000000000,23453.1400000000000000000000000000,23391.7500000000000000000000000000,23404.6500000000000000000000000000,506.36291600,11857643.000000000000000000,1675551600000
1675551600000,23404.6500000000000000000000000000,23421.8900000000000000000000000000,23268.7700000000000000000000000000,23327.3200000000000000000000000000,1548.59640200,36140258.610000000000000000,1675555200000
1675555200000,23327.3200000000000000000000000000,23370.2000000000000000000000000000,23234.2000000000000000000000000000,23284.3400000000000000000000000000,2258.48756700,52620469.090000000000000000,1675558800000
1675558800000,23284.3400000000000000000000000000,23332.4900000000000000000000000000,23264.9200000000000000000000000000,23319.7100000000000000000000000000,255.22373500,5948183.360000000000000000,1675562400000
1675562400000,23319.7000000000000000000000000000,23347.1800000000000000000000000000,23292.3700000000000000000000000000,23294.3400000000000000000000000000,119.27595700,2782571.780000000000000000,1675566000000
1675566000000,23294.3400000000000000000000000000,23345.1600000000000000000000000000,23291.2500000000000000000000000000,23344.7600000000000000000000000000,1728.30425000,40308581.230000000000000000,1675569600000
